time,x,y,vx,vy,delta,contact_active,Fy,F_lateral_norm,body_moment_norm,ground_Mz,static_Fy_at_delta,static_ground_Mz_at_delta,total_energy,energy_minus_initial,x_ref,solver_final_residual_norm,solver_newton_iters
0.005,0.04,0.139877375,0.0,-0.04905,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.0,0.06867000000000001,1.3877787807814457e-17,0.04,0.0,1
0.01,0.04,0.1395095,0.0,-0.0981,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.0,0.06867000000000002,2.7755575615628914e-17,0.04,0.0,1
0.015,0.04,0.13889637500000002,0.0,-0.14715,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.0,0.06867000000000001,1.3877787807814457e-17,0.04,4.336808689942018e-19,1
0.02,0.04,0.13803800000000002,0.0,-0.1962,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.0,0.06867000000000001,1.3877787807814457e-17,0.04,4.336808689942018e-19,1
0.025,0.04,0.13693437500000002,0.0,-0.24525000000000002,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.0,0.06867000000000001,1.3877787807814457e-17,0.04,4.336808689942018e-19,1
0.03,0.04,0.13558550000000003,0.0,-0.2943,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.0,0.06867000000000001,1.3877787807814457e-17,0.04,8.673617379884035e-19,1
0.035,0.04,0.13399137500000002,0.0,-0.34335,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.0,0.06867000000000002,2.7755575615628914e-17,0.04,8.673617379884035e-19,1
0.04,0.04,0.13215200000000002,0.0,-0.39239999999999997,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.0,0.06867000000000001,1.3877787807814457e-17,0.04,8.673617379884035e-19,1
0.045,0.04,0.130067375,0.0,-0.44144999999999995,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.0,0.06867000000000002,2.7755575615628914e-17,0.04,8.673617379884035e-19,1
0.05,0.04,0.1277375,0.0,-0.49049999999999994,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.0,0.06867000000000001,1.3877787807814457e-17,0.04,8.673617379884035e-19,1
0.055,0.04,0.125162375,0.0,-0.53955,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.0,0.06867000000000001,1.3877787807814457e-17,0.04,1.734723475976807e-18,1
0.06,0.04,0.12234199999999999,0.0,-0.5886,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.0,0.06867,0.0,0.04,1.734723475976807e-18,1
0.065,0.04,0.11927637499999999,0.0,-0.63765,0.0007236250000000055,0,0.0,0.0,0.0,0.0,0.003940164909717219,-0.00015760659638868878,0.06867095087916568,9.508791656842597e-07,0.04,1.734723475976807e-18,1
0.07,0.04,0.11596549999999999,0.0,-0.6867000000000001,0.00403450000000001,0,0.0,0.0,0.0,0.0,0.12135172709424648,-0.004854069083769859,0.06883366026726787,0.00016366026726787053,0.04,1.734723475976807e-18,1
0.075,0.04,0.11240937499999998,0.0,-0.7357500000000001,0.0075906250000000175,1,0.40219493608367995,4.336808689942018e-18,6.133173666733497e-19,-0.0160877974433472,0.42526646765470577,-0.01701065870618823,0.0697518068807214,0.0010818068807214032,0.04,1.734723475976807e-18,1
0.08,0.04,0.10876231451856927,-2.3304868174582766e-18,-0.7230741925722826,0.011237685481430726,1,0.9055207609286402,9.889445383256551e-18,2.1224854172130796e-18,-0.036220830437145614,0.9224480363714642,-0.03689792145485857,0.06990205069767269,0.0012320506976726958,0.04,4.213878703439312e-12,3
0.085,0.04,0.10533565842661764,-1.3696878940265459e-16,-0.64758824420837,0.014664341573382353,1,1.5772702152815998,3.686287386450715e-17,3.756275499708956e-18,-0.063090808611264,1.5553394023416702,-0.06221357609366681,0.06983478994965622,0.001164789949656228,0.04,2.8564277462436753e-10,2
0.09,0.04,0.10243867188792781,-1.3527947528938085e-16,-0.5112063712675655,0.017561328112072186,1,2.1396713749891205,4.199320903824287e-17,3.4285483091569345e-18,-0.08558685499956482,2.2118523470810696,-0.08847409388324279,0.06989315518551155,0.0012231551855115541,0.04,1.225222267392524e-11,3
0.095,0.04,0.1003480647772995,-1.2966470836371603e-16,-0.32503647298375477,0.019651935222700492,1,2.6000670526992007,4.113343589830015e-17,7.855229927286592e-18,-0.10400268210796802,2.752913382825151,-0.11011653531300604,0.07015561666543403,0.0014856166654340364,0.04,8.134538181936564e-12,3
0.1,0.04,0.09928050472198237,-1.258905003197262e-16,-0.10198754914310108,0.020719495278017627,1,2.850198427936801,6.453544378663091e-17,9.058280434126155e-18,-0.11400793711747202,3.0505339516568686,-0.12202135806627475,0.07034728978247683,0.0016772897824768318,0.04,1.2690281117611167e-11,3
0.105,0.04,0.09935746018699762,-1.5512180388902267e-16,0.13276973514920345,0.020642539813002375,1,2.83114324378656,7.025094648823097e-17,9.151719646934558e-18,-0.11324572975146242,3.02860249826278,-0.12114409993051121,0.0703317840856548,0.0016617840856548022,0.04,1.6420025061858603e-11,2
0.11,0.04,0.10056945779968506,-3.127708368088135e-16,0.35202930992576803,0.01943054220031494,1,2.5473637856088,5.535507776325017e-17,8.690541527449943e-19,-0.10189455142435203,2.6929863412122,-0.107719453648488,0.07011827741593406,0.0014482774159340628,0.04,1.528730284722228e-10,2
0.115,0.04,0.10277956971686382,-3.191999436096248e-16,0.532015456945737,0.017220430283136176,1,2.07268959741552,4.763387676571384e-17,4.253680382331524e-18,-0.08290758389662083,2.1289307782567843,-0.08515723113027138,0.06986323867746197,0.0011932386774619747,0.04,1.704848068273753e-12,3
0.12,0.04,0.10576237674051794,-3.1109742993962245e-16,0.6611073525159129,0.014237623259482052,1,1.4885000382355198,2.1422254656338604e-17,1.2002979895536634e-18,-0.0595400015294208,1.4679502672197324,-0.0587180106887893,0.06984144456824559,0.001171444568245597,0.04,8.29360798787489e-12,3
0.125,0.04,0.10923407502676807,-2.962361606024273e-16,0.7275719619841368,0.010765924973231922,1,0.8164779565060799,1.3502126457303996e-17,3.14366781487832e-18,-0.0326591182602432,0.8477697635863232,-0.033910790543452925,0.06987912644301329,0.0012091264430132975,0.04,1.5020806213433853e-11,3
0.13,0.04,0.11288939890312968,-2.9564293476535507e-16,0.7345575885605097,0.0071106010968703115,1,0.34859519525952,7.152448122690996e-18,2.1726353818624857e-19,-0.013943807810380801,0.37368860641327556,-0.014947544256531022,0.06975180002959179,0.0010818000295917951,0.04,3.8573544315287375e-12,3
