n_steps,first_contact_time,first_release_time,touch_speed_analytic,analytic_delta_max,sim_delta_max_first_cycle,rel_err_delta_max,max_rel_err_static_force_law_first_cycle,mean_rel_err_static_force_law_first_cycle,release_speed_sim,rel_err_release_speed,release_energy_drift_rel_drop_scale,max_abs_x_drift,max_abs_vx,max_body_moment_norm_first_cycle,max_solver_final_residual_norm_first_cycle,max_rel_ground_Mz_relation_first_cycle,case,solver
21,0.045,0.095,0.442944691807002,0.004942824987197979,0.004262585860903181,0.1376215277815078,0.27575390827335544,0.2630922430846713,0.08849174187099024,0.8002194325662052,-0.9178290918622466,1.6169134347478287e-17,4.609081935311963e-16,5.681219383824043e-17,0.0004614035796454922,,flat_punch_centered,legacy
19,0.05,0.085,0.442944691807002,0.004942824987197979,0.005943743611067712,0.20249930484330986,0.27689222860818974,0.2669452718048597,0.4315670834118476,0.025686295841449776,-0.02146637658030058,5.8519917084954485e-18,1.9718947824558183e-16,3.1372247449879723e-17,9.690874543805128e-10,,flat_punch_centered,tuned
29,0.075,0.135,0.626418390534633,0.02014781851437459,0.01763136411110107,0.12489959652347174,0.06266562323970107,0.02549451639637054,0.3660245852476842,0.41568671868766327,-0.9019648444215305,5.4648201040668587e-17,1.141466144078244e-15,6.0756449329842245e-18,0.0005896167954343758,,sphere_centered,legacy
29,0.075,0.135,0.626418390534633,0.02014781851437459,0.020719495278017627,0.02837412711630152,0.06715059202528609,0.042023422946300265,0.6855075955324077,0.09432865619948273,0.031010813176328023,1.482417318572657e-17,3.203498969440181e-16,9.151719646934558e-18,3.4859490120886516e-10,,sphere_centered,tuned
29,0.075,0.135,0.626418390534633,0.02014781851437459,0.01763136411110107,0.12489959652347174,0.06266562323970107,0.02549451639637054,0.3660245852476842,0.41568671868766327,-0.9019648444215305,0.0,1.9055947012848314e-16,5.971545513195337e-18,0.0005896167954343758,0.06266562323970107,sphere_offaxis,legacy
29,0.075,0.135,0.626418390534633,0.02014781851437459,0.020719495278017627,0.02837412711630152,0.06715059202528609,0.042023422946300265,0.6855075955324077,0.09432865619948273,0.031010813176328023,0.0,3.191999436096248e-16,9.151719646934558e-18,3.4859490120886516e-10,0.06715059202528595,sphere_offaxis,tuned
