case,release_speed_error_legacy,release_speed_error_tuned,energy_drift_legacy,energy_drift_tuned,delta_error_legacy,delta_error_tuned,force_law_max_err_legacy,force_law_max_err_tuned,ground_mz_err_legacy,ground_mz_err_tuned
sphere_centered,0.41568671868766327,0.09432865619948273,-0.9019648444215305,0.031010813176328023,0.12489959652347174,0.02837412711630152,0.06266562323970107,0.06715059202528609,,
flat_punch_centered,0.8002194325662052,0.025686295841449776,-0.9178290918622466,-0.02146637658030058,0.1376215277815078,0.20249930484330986,0.27575390827335544,0.27689222860818974,,
sphere_offaxis,0.41568671868766327,0.09432865619948273,-0.9019648444215305,0.031010813176328023,0.12489959652347174,0.02837412711630152,0.06266562323970107,0.06715059202528609,0.06266562323970107,0.06715059202528595
