solver,candidate_vy,trial_y_eval,trial_vy_eval,trial_Fy,residual_norm,residual_y
legacy,-1.0366999986266665,0.10906525005836719,-1.0366999986266665,0.8494879917412802,0.0192949399587064,-0.0192949399587064
legacy,-1.0191999986266664,0.10915275005836719,-1.0191999986266664,0.8354603892168001,0.018349801946083998,-0.018349801946083998
legacy,-1.0016999986266666,0.10924025005836718,-1.0016999986266666,0.8139638427364803,0.017367319213682404,-0.017367319213682404
legacy,-0.9841999986266665,0.10932775005836719,-0.9841999986266665,0.7987130385148803,0.0164160651925744,-0.0164160651925744
legacy,-0.9666999986266664,0.10941525005836719,-0.9666999986266664,0.7847187833664002,0.015471093916831997,-0.015471093916831997
legacy,-0.9491999986266665,0.1095027500583672,-0.9491999986266665,0.7607735494084803,0.014476367747042399,-0.014476367747042399
legacy,-0.9316999986266665,0.10959025005836719,-0.9316999986266665,0.7468030482681598,0.013531515241340799,-0.013531515241340799
legacy,-0.9141999986266665,0.10967775005836719,-0.9141999986266665,0.7315983820872,0.012580491910435997,-0.012580491910435997
legacy,-0.8966999986266665,0.1097652500583672,-0.8966999986266665,0.7101858889180801,0.0115984294445904,-0.0115984294445904
legacy,-0.8791999986266665,0.10985275005836719,-0.8791999986266665,0.7012219404168,0.010678609702084,-0.010678609702084
legacy,-0.8616999986266665,0.10994025005836719,-0.8616999986266665,0.6935072316652802,0.009765036158326398,-0.009765036158326398
legacy,-0.8441999986266665,0.1100277500583672,-0.8441999986266665,0.6833132292556803,0.008839066146278399,-0.008839066146278399
legacy,-0.8266999986266665,0.11011525005836718,-0.8266999986266665,0.670642674228,0.00790071337114,-0.00790071337114
legacy,-0.8091999986266665,0.11020275005836719,-0.8091999986266665,0.6629471515512,0.006987235757755997,-0.006987235757755997
legacy,-0.7916999986266665,0.11029025005836719,-0.7916999986266665,0.6515340589656,0.006055170294827999,-0.006055170294827999
legacy,-0.7741999986266666,0.11037775005836718,-0.7741999986266666,0.64012918887792,0.005123145944389601,-0.005123145944389601
legacy,-0.7566999986266665,0.11046525005836719,-0.7566999986266665,0.63245285231472,0.004209764261573598,-0.004209764261573598
legacy,-0.7391999986266665,0.11055275005836719,-0.7391999986266665,0.6210630570916801,0.0032778152854584,-0.0032778152854584
legacy,-0.7216999986266666,0.1106402500583672,-0.7216999986266666,0.60968148436656,0.0023459074218328013,-0.0023459074218328013
legacy,-0.7041999986266665,0.11072775005836719,-0.7041999986266665,0.60202433395584,0.0014326216697791976,-0.0014326216697791976
legacy,-0.6866999986266665,0.11081525005836719,-0.6866999986266665,0.59065783605648,0.0005007891802824,-0.0005007891802824
legacy,-0.6691999986266666,0.1109027500583672,-0.6691999986266666,0.5792995607716801,0.0004310021961415978,0.0004310021961415978
legacy,-0.6516999986266665,0.11099025005836718,-0.6516999986266665,0.5679495081792001,0.0013627524591040014,0.0013627524591040014
legacy,-0.6341999986266665,0.11107775005836719,-0.6341999986266665,0.5603183959766399,0.0022759080201168003,0.0022759080201168003
legacy,-0.6166999986266666,0.1111652500583672,-0.6166999986266666,0.5489834180544001,0.0032075829097279974,0.0032075829097279974
legacy,-0.5991999986266665,0.11125275005836718,-0.5991999986266665,0.5376566627856001,0.004139216686072001,0.004139216686072001
legacy,-0.5816999986266665,0.11134025005836719,-0.5816999986266665,0.53004473669664,0.005052276316516799,0.005052276316516799
legacy,-0.5641999986266666,0.11142775005836719,-0.5641999986266666,0.5174979775329601,0.005990010112335197,0.005990010112335197
legacy,-0.5466999986266665,0.1115152500583672,-0.5466999986266665,0.50742959834736,0.006915352008263201,0.006915352008263201
legacy,-0.5291999986266666,0.11160275005836719,-0.5291999986266666,0.4998368583331201,0.007828315708334399,0.007828315708334399
legacy,-0.5116999986266666,0.11169025005836719,-0.5116999986266666,0.48731476689648,0.008765926165517598,0.008765926165517598
legacy,-0.4941999986266665,0.1117777500583672,-0.4941999986266665,0.4772683146312001,0.009691158426844001,0.009691158426844001
legacy,-0.47669999862666657,0.11186525005836719,-0.47669999862666657,0.46846196613215996,0.0106101901693392,0.0106101901693392
legacy,-0.4591999986266666,0.11195275005836719,-0.4591999986266666,0.45473266154304,0.011553836692284797,0.011553836692284797
legacy,-0.44169999862666653,0.1120402500583672,-0.44169999862666653,0.44717281198703995,0.0124666359400648,0.0124666359400648
legacy,-0.4241999986266666,0.11212775005836718,-0.4241999986266666,0.43838701981056005,0.013385564900947198,0.013385564900947198
legacy,-0.4066999986266666,0.11221525005836719,-0.4066999986266666,0.4246837535462401,0.014329081232268797,0.014329081232268797
legacy,-0.38919999862666654,0.11230275005836719,-0.38919999862666654,0.41591257947216,0.015247937102639199,0.015247937102639199
legacy,-0.3716999986266666,0.11239025005836718,-0.3716999986266666,0.40837785444431995,0.016160610727778395,0.016160610727778395
legacy,-0.3541999986266666,0.11247775005836719,-0.3541999986266666,0.3947006264270401,0.017103996867864797,0.017103996867864797
legacy,-0.33669999862666655,0.11256525005836719,-0.33669999862666655,0.38595000879216,0.018022749956039197,0.018022749956039197
