solver,candidate_vy,trial_y_eval,trial_vy_eval,trial_Fy,residual_norm,residual_y
tuned,-1.08575,0.11374993749999998,-0.886225,0.24825991656960006,0.018741299582848,-0.018741299582848
tuned,-1.0682500000000001,0.11377181249999999,-0.8774750000000001,0.0,0.016625000000000004,-0.016625000000000004
tuned,-1.05075,0.11379368749999999,-0.8687250000000001,0.0,0.01575,-0.01575
tuned,-1.0332500000000002,0.11381556249999998,-0.8599750000000002,0.0,0.014875000000000006,-0.014875000000000006
tuned,-1.0157500000000002,0.11383743749999999,-0.8512250000000001,0.0,0.014000000000000005,-0.014000000000000005
tuned,-0.9982500000000001,0.11385931249999999,-0.8424750000000001,0.0,0.013125000000000001,-0.013125000000000001
tuned,-0.9807500000000001,0.11388118749999998,-0.833725,0.0,0.012250000000000002,-0.012250000000000002
tuned,-0.9632500000000002,0.11390306249999999,-0.8249750000000001,0.0,0.011375000000000005,-0.011375000000000005
tuned,-0.9457500000000001,0.11392493749999999,-0.8162250000000001,0.0,0.0105,-0.0105
tuned,-0.9282500000000001,0.11394681249999998,-0.8074750000000002,0.0,0.009625000000000003,-0.009625000000000003
tuned,-0.9107500000000002,0.11396868749999998,-0.7987250000000001,0.0,0.008750000000000004,-0.008750000000000004
tuned,-0.8932500000000001,0.11399056249999999,-0.7899750000000001,0.0,0.007875000000000002,-0.007875000000000002
tuned,-0.8757500000000001,0.11401243749999998,-0.7812250000000001,0.0,0.007000000000000003,-0.007000000000000003
tuned,-0.8582500000000002,0.11403431249999998,-0.7724750000000001,0.0,0.0061250000000000054,-0.0061250000000000054
tuned,-0.8407500000000001,0.11405618749999999,-0.7637250000000001,0.0,0.005250000000000001,-0.005250000000000001
tuned,-0.8232500000000001,0.11407806249999998,-0.7549750000000002,0.0,0.004375000000000004,-0.004375000000000004
tuned,-0.8057500000000002,0.11409993749999998,-0.7462250000000001,0.0,0.0035000000000000053,-0.0035000000000000053
tuned,-0.7882500000000001,0.11412181249999999,-0.7374750000000001,0.0,0.002625000000000002,-0.002625000000000002
tuned,-0.7707500000000002,0.11414368749999998,-0.7287250000000001,0.0,0.0017500000000000037,-0.0017500000000000037
tuned,-0.7532500000000002,0.11416556249999998,-0.7199750000000001,0.0,0.0008750000000000055,-0.0008750000000000055
tuned,-0.7357500000000001,0.11418743749999999,-0.7112250000000001,0.0,1.734723475976807e-18,-1.734723475976807e-18
tuned,-0.7182500000000002,0.11420931249999998,-0.7024750000000002,0.0,0.0008749999999999962,0.0008749999999999962
tuned,-0.7007500000000002,0.11423118749999998,-0.6937250000000001,0.0,0.0017499999999999942,0.0017499999999999942
tuned,-0.6832500000000001,0.11425306249999999,-0.6849750000000001,0.0,0.002624999999999998,0.002624999999999998
tuned,-0.6657500000000002,0.11427493749999998,-0.6762250000000001,0.0,0.003499999999999996,0.003499999999999996
tuned,-0.6482500000000002,0.11429681249999998,-0.6674750000000002,0.0,0.0043749999999999935,0.0043749999999999935
tuned,-0.6307500000000001,0.11431868749999999,-0.6587250000000001,0.0,0.005249999999999998,0.005249999999999998
tuned,-0.6132500000000001,0.11434056249999998,-0.6499750000000001,0.0,0.006125000000000001,0.006125000000000001
tuned,-0.5957500000000002,0.11436243749999998,-0.6412250000000002,0.0,0.006999999999999994,0.006999999999999994
tuned,-0.5782500000000002,0.11438431249999999,-0.6324750000000001,0.0,0.007874999999999997,0.007874999999999997
tuned,-0.5607500000000002,0.11440618749999998,-0.6237250000000001,0.0,0.008749999999999996,0.008749999999999996
tuned,-0.5432500000000001,0.11442806249999998,-0.614975,0.0,0.009624999999999998,0.009624999999999998
tuned,-0.5257500000000002,0.11444993749999999,-0.6062250000000001,0.0,0.010499999999999997,0.010499999999999997
tuned,-0.5082500000000002,0.11447181249999998,-0.5974750000000002,0.0,0.011374999999999994,0.011374999999999994
tuned,-0.49075000000000013,0.11449368749999998,-0.5887250000000002,0.0,0.012249999999999999,0.012249999999999999
tuned,-0.47325000000000017,0.11451556249999999,-0.5799750000000001,0.0,0.013124999999999996,0.013124999999999996
tuned,-0.4557500000000002,0.11453743749999999,-0.5712250000000001,0.0,0.013999999999999995,0.013999999999999995
tuned,-0.43825000000000014,0.11455931249999998,-0.5624750000000001,0.0,0.014874999999999998,0.014874999999999998
tuned,-0.4207500000000002,0.11458118749999999,-0.5537250000000001,0.0,0.015749999999999997,0.015749999999999997
tuned,-0.4032500000000002,0.11460306249999999,-0.5449750000000002,0.0,0.016624999999999994,0.016624999999999994
tuned,-0.38575000000000015,0.11462493749999998,-0.5362250000000002,0.0,0.017499999999999998,0.017499999999999998
